Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german
attITAVRank08LongDesc,progression,Attribute,,,"Medical healing items heal 75% more health over time. Gain 15% XP from electrical trap kills. Adds 15% to loot bonus for containers that you open personally. Looting is 40% faster.",,"Medizinische Heilgegenstände heilen im Laufe der Zeit 75 % mehr Gesundheit. Erhalte 15 % XP durch das Töten von Elektrofallen. Fügt 15 % zum Beutebonus für Behälter hinzu, die du persönlich öffnest. Plündern ist 40 % schneller."
attITAVRank09Desc,progression,Attribute,,,Passionate,,Leidenschaftlich
attITAVRank09LongDesc,progression,Attribute,,,"Gain 35% XP from electrical trap kills. Adds 20% to loot bonus for containers that you open personally. Looting is 60% faster.",,"Gewinne 35 % EP durch das Töten von Elektrofallen. Fügt 20 % zum Beutebonus für Container hinzu, die du persönlich öffnest. Das Plündern ist 60 % schneller."
attITAVRank10Desc,progression,Attribute,,,Giving ALL the fucks,,gib ALLEN die Scheiße
attITAVRank10LongDesc,progression,Attribute,,,"Gain 50% XP from electrical trap kills. Adds 25% to loot bonus for containers that you open personally. Looting is 80% faster.",,"Gewinne 50 % XP durch das Töten von Elektrofallen. Fügt 25 % zum Beutebonus für Container hinzu, die du persönlich öffnest. Das Plündern ist 80 % schneller."

reqAttLevel00ITAV,progression,Attribute,,,"You already know a profession",,"Sie beherrschen bereits einen Beruf"
reqAttLevel01ITAV,progression,Attribute,,,Craft or buy a profession book to learn a new profession,,Stelle ein Berufsbuch her oder kaufe es, um einen neuen Beruf zu erlernen
reqAttLevel02ITAV,progression,Attribute,,,Passion Level 2,,Leidenschaftsstufe 2
reqAttLevel03ITAV,progression,Attribute,,,Passion Level 3,,Leidenschaftsstufe 3
reqAttLevel04ITAV,progression,Attribute,,,Passion Level 4,,Leidenschaftsstufe 4
reqAttLevel05ITAV,progression,Attribute,,,Passion Level 5,,Leidenschaftsstufe 5
reqAttLevel06ITAV,progression,Attribute,,,Passion Level 6,,Leidenschaftsstufe 6
reqAttLevel07ITAV,progression,Attribute,,,Passion Level 7,,Leidenschaftsstufe 7
reqAttLevel08ITAV,progression,Attribute,,,Passion Level 8,,Leidenschaftsstufe 8
reqAttLevel09ITAV,progression,Attribute,,,Passion Level 9,,Leidenschaftsstufe 9
reqAttLevel10ITAV,progression,Attribute,,,Passion Level 10,,Leidenschaftsstufe 10
allowedProfessionsLevelExceededITAV,,,,,Not yet allowed to learn another profession,,Noch nicht berechtigt, einen anderen Beruf zu erlernen

perkSmelterITAVDesc,progression,perk Pro,,,"Smelt and craft items in the forge.",,"Schmelze und fertige Gegenstände in der Schmiede."
perkSmelterITAVName,progression,perk Pro,,,Smelter,,Schmelzer:in
perkSmelterITAVRank1Desc,progression,perk Pro,,,Iron Fist,,Eisenfaust
perkSmelterITAVRank1LongDesc,progression,perk Pro,,,"Forge iron and other metal objects. Craft forge, workbench, cementmixer, chemistry station and military fibers.",,"Schmiede Eisen und andere Metallgegenstände. Handwerksschmiede, Werkbank, Zementmischer, Chemiestation und Militärfasern."
perkSmelterITAVRank2Desc,progression,perk,,,Electrician,,Elektriker:in
perkSmelterITAVRank2LongDesc,progression,perk Pro,,,"Unlocks crafting of the bellows, anvil, generator banks, electrical relays, switches, pressure plates, motion sensors, wireless fusebox and various lights."
perkSmelterITAVRank3Desc,progression,perk,,,Serious Steel,,Ernster Stahl
perkSmelterITAVRank3LongDesc,progression,perk Pro,,,"Unlocks crafting of forged steel, battery bank, nailgun and various powered doors.",,"Schaltet die Herstellung von geschmiedetem Stahl, Batteriebank, Nagelpistole und verschiedenen angetriebenen Türen frei."

perkMinerITAVDesc,progression,perk Pro,,,"Maximize your mining efforts by increasing harvest of resources and tool damage to bring down rocks and trees faster. Craft bundles faster at the Advanced Miner's Table.",,"Maximieren Sie Ihre Bergbaubemühungen, indem Sie die Ernte von Ressourcen und den Werkzeugschaden erhöhen, um Felsen und Bäume schneller zu fällen. Fertigen Sie Bündel schneller am Advanced Miner's Table."
perkMinerITAVName,progression,perk Pro,,,Miner,,Bergarbeiter:in
perkMinerITAVRank1Desc,progression,perk Pro,,,"Woodpecker",,"Specht"
perkMinerITAVRank1LongDesc,progression,perk Pro,,,"Increase tool damage by 10% and block damage by 30% with any axe, pick, chainsaw or auger. Harvest 20% more from trees, ore and stone. Unlocks resource bundles.",,"Erhöhen Sie den Werkzeugschaden um 10 % und blocken Sie den Schaden um 30 % mit jeder Axt, Spitzhacke, Kettensäge oder Erdbohrer. Ernten Sie 20 % mehr von Bäumen, Erz und Stein. Schaltet Ressourcenpakete frei."
perkMinerITAVRank2Desc,progression,perk,,,"Choppy Chop",,"Choppy Chop"
perkMinerITAVRank2LongDesc,progression,perk Pro,,,"Increase tool damage by 20% and block damage by 60% with any axe, pick, chainsaw or auger. Harvest 40% more from trees, ore and stone. Unlocks Advanced Miner's Table.",,"Erhöhen Sie den Werkzeugschaden um 20 % und blocken Sie den Schaden um 60 % mit jeder Axt, Spitzhacke, Kettensäge oder Erdbohrer. Ernten Sie 40 % mehr von Bäumen, Erz und Stein. Schaltet Advanced Miner's Table frei."
perkMinerITAVRank3Desc,progression,perk,,,"Bang That Rock",,"Knall diesen Stein"
perkMinerITAVRank3LongDesc,progression,perk Pro,,,"Increase tool damage,,"Iron Fist" by 30% and block damage by 90% with any axe, pick, chainsaw or auger. Harvest 60% more from trees, ore and stone.",,"Erhöhen Sie den Werkzeugschaden,,,,Eisenfaust" um 30 % und blockieren Sie den Schaden um 90 % mit jeder Axt, Spitzhacke, Kettensäge oder Erdbohrer. Ernten Sie 60 % mehr von Bäumen, Erz und Stein."
perkMinerITAVRank4Desc,progression,perk Pro,,,"Iron Fist"
perkMinerITAVRank4LongDesc,progression,perk Pro,,,"Increase tool damage by 40% and block damage by 120% with any axe, pick, chainsaw or auger. Harvest 80% more from trees, ore and stone.",,"Erhöhen Sie den Werkzeugschaden um 40 % und blockieren Sie den Schaden um 120 % mit jeder Axt, Spitzhacke, Kettensäge oder Erdbohrer. Ernten Sie 80 % mehr von Bäumen, Erz und Stein."
perkMinerITAVRank5Desc,progression,perk Pro,,,"Cave Troll",,"Höhlentroll"
perkMinerITAVRank5LongDesc,progression,perk Pro,,,"Increase tool damage by 50% and block damage by 150% with any axe, pick, chainsaw or auger. Harvest 100% more from trees, ore and stone.",,"Erhöhen Sie den Werkzeugschaden um 50 % und blockieren Sie den Schaden um 150 % mit jeder Axt, Spitzhacke, Kettensäge oder Erdbohrer. Ernten Sie 100 % mehr von Bäumen, Erz und Stein."

perkHunterITAVDesc,progression,perk Pro,,,"Become one with the hunt. Gain the ability to track animals and increase damage to and harvest from them.",,"Werden Sie eins mit der Jagd. Gewinnen Sie die Fähigkeit, Tiere aufzuspüren und den Schaden an ihnen zu erhöhen und von ihnen zu ernten."
perkHunterITAVName,progression,perk Pro,,,Hunter,,Jäger:in
perkHunterITAVRank1LongDesc,progression,perk Pro,,,"You are now a Pelter. Harvest 20% more resources from animals. Crouch to track rabbits, snakes and chickens. Deal 25% more damage to animals.",,"Du bist jetzt ein Pelter. Ernte 20 % mehr Ressourcen von Tieren. Gehe in die Hocke, um Kaninchen, Schlangen und Hühner aufzuspüren. Füge Tiere 25 % mehr Schaden zu."
perkHunterITAVRank2Desc,progression,perk Pro,,,Tracker,,Verfolger:in
perkHunterITAVRank2LongDesc,progression,perk Pro,,,"You are now a Tracker. Crouch to track deers, boars, wolves and coyotes. Harvest 60% more resources from animals.",,"Du bist jetzt ein Fährtensucher. Gehe in die Hocke, um Hirsche, Wildschweine, Wölfe und Kojoten aufzuspüren. Ernte 60 % mehr Ressourcen von Tieren."
perkHunterITAVRank3Desc,progression,perk Pro,,,Huntress,,Jäger:in
perkHunterITAVRank3LongDesc,progression,perk Pro,,,"You are a true Hunter and let nothing go to waste. Crouch to track mountain lions and bears. Harvest 100% more resources from animals, and gain a run speed boost when fighting zombie bears.",,"Du bist ein wahrer Jäger und lässt nichts vergeuden. Gehe in die Hocke, um Berglöwen und Bären aufzuspüren. Ernte 100 % mehr Ressourcen von Tieren und erhalte einen Geschwindigkeitsschub beim Laufen, wenn du gegen Zombiebären kämpfst."

perkCookITAVDesc,progression,perk Pro,,,"Create more filling meals with advanced benefits, prepared with ingredients grown at your own farm. Grow crops in farm plots, and cook high-end items at the Advanced Cooking Stove.",,"Kreieren Sie sättigendere Mahlzeiten mit erweiterten Vorteilen, zubereitet mit Zutaten, die auf Ihrem eigenen Bauernhof angebaut werden. Bauen Sie Feldfrüchte auf landwirtschaftlichen Parzellen an und kochen Sie High-End-Produkte auf dem Advanced Cooking Stove."
perkCookITAVName,progression,perk Pro,,,Cook,,Koch/Köchin
perkCookITAVRank1LongDesc,progression,perk Pro,,,"Unlocks basic recipes such as bacon and eggs, boiled and grilled meats, baked potatoes, cornbread, teas and coffee. Double the harvest of wild or planted crops, and gain a 50% chance of receiving a seed when harvesting your crops. Craft seeds for flowers and decorative plants.\n Farm plots cost 30% less to craft. Harvest 20% more from terrain blocks with a shovel. Unlocks the Farmer's Sink workbench and Clay Bundles.",,"Schaltet Grundrezepte wie Speck und Eier, gekochtes und gegrilltes Fleisch, Ofenkartoffeln, Maisbrot, Tee und Kaffee frei. Verdopple die Ernte wilder oder gepflanzter Feldfrüchte und erhalte eine Chance von 50 %, beim Ernten deiner Feldfrüchte einen Samen zu erhalten. Stelle Samen für Blumen und Zierpflanzen her.\n Die Herstellung von Farmparzellen kostet 30 % weniger. Ernte 20 % mehr von Geländeblöcken mit einer Schaufel. Schaltet die Werkbank "Farmer's Sink" und Tonbündel frei."
perkCookITAVRank2LongDesc,progression,perk Pro,,,"Just like grandma used to make, tasty hearty meals that fill you up for days. Craft Steak and Potatoes, Chicken Stew, Meat Stew, Vegetable Stew, Blueberry Pie, Acorn Pie and several pumpkin dishes. Warm yourself with a delicious glass of Spicy Coffee. Unlocks the Small Food Pile storage decoration. You can craft seeds for berries and vegetables.80% chance of receiving a seed when harvesting you crops, and 80% chance to harvest 1 additional crop.Farm plots cost 50% less to craft. Harvest 40% more from terrain blocks with a shovel.",,"Wie bei Oma, schmackhafte deftige Gerichte, die tagelang satt machen. Koche Steak und Kartoffeln, Hühnereintopf, Fleischeintopf, Gemüseeintopf, Blaubeerkuchen, Eichelkuchen und verschiedene Kürbisgerichte. Wärmen Sie sich mit einem köstlichen Glas Spicy Coffee auf. Schaltet die Lagerdekoration "Kleiner Nahrungsstapel" frei. Sie können Samen für Beeren und Gemüse herstellen. 80 % Chance, einen Samen zu erhalten, wenn Sie Ihre Feldfrüchte ernten, und 80 % Chance, 1 zusätzliche Feldfrucht zu ernten. Die Herstellung von Farmparzellen kostet 50 % weniger. Ernte 40 % mehr von Geländeblöcken mit einer Schaufel."
perkCookITAVRank3LongDesc,progression,perk Pro,,,"Learn how to make nutritious meals from canned goods. Craft Sham Chowder, Hobo Stew, Chili dogs, Fish Tacos, Chicken Soup and Chicken Empanadas. Wash them down with Yucca Juice Smoothies and Beer. Triple the harvest of wild or planted crops. Harvest 60% more from terrain blocks with a shovel.",,"Lernen Sie, wie man nahrhafte Mahlzeiten aus Konserven zubereitet. Stellen Sie Sham Chowder, Hobo Stew, Chili Dogs, Fisch-Tacos, Hühnersuppe und Hühnchen-Empanadas her. Spülen Sie sie mit Yucca-Saft-Smoothies und Bier hinunter. Verdreifachen Sie die Ernte von Wild- oder Pflanzenkulturen Ernte 60 % mehr von Geländeblöcken mit einer Schaufel."
perkCookITAVRank4LongDesc,progression,perk Pro,,,"Cook for an army by making Gumbo Stew, Shepards Pie, Spaghetti, Tuna Gravy on Toast and Spicy Chicken Soup. Harvest 80% more from terrain blocks with a shovel. Unlocks the Medium Food Pile storage decoration, and the Advanced Cooking Stove.",,"Kochen Sie für eine Armee, indem Sie Gumbo-Eintopf, Shepards Pie, Spaghetti, Thunfischsoße auf Toast und würzige Hühnersuppe zubereiten. Ernten Sie mit einer Schaufel 80 % mehr von Geländeblöcken. Schaltet die Lagerdekoration Mittlerer Nahrungsstapel und den Fortgeschrittenen Kochherd frei ."
perkCookITAVRank5LongDesc,progression,perk Pro,,,"Learn grandpa's secret recipes that boost stats and attributes! Harvest 100% more from terrain blocks with a shovel. Unlocks the Large Food Pile storage decoration.",,"Lerne Opas Geheimrezepte, die Werte und Attribute verbessern! Ernte 100 % mehr von Geländeblöcken mit einer Schaufel. Schaltet die Lagerdekoration "Large Food Pile" frei."

perkArmorerITAVDesc,progression,perk Pro,,,"Craft ranged and melee weapons, tools and light and heavy armor.",,"Stelle Fern- und Nahkampfwaffen, Werkzeuge sowie leichte und schwere Rüstungen her."
perkArmorerITAVName,progression,perk Pro,,,Armorer,,Waffenmeister:in
perkArmorerRank1DescITAV,progression,perk Pro,,,Apprentice,,Lehrling
perkArmorerRank1LongDescITAV,progression,perk Pro,,,"You are now an apprentice armorer and able to craft quality 2 leather armor, iron armor, steel armor and military armor. \n Unlocks crafting of workbenches, bows, crossbows, hunting rifle, handguns, shotguns, assault rifle, sniper rifle, bladed weapons, blunt weapons, fist weapons, thrown weapons and rocket launcher. Unlocks crafting of Steel Tool Parts and Motor Tool Parts from Tool Part Fragments, and Tools. (The  wrench, ratchet and impact driver are made by the Mechanic).",,"Du bist jetzt ein Waffenschmiedlehrling und in der Lage, Lederrüstungen, Eisenrüstungen, Stahlrüstungen und Militärrüstungen der Qualität 2 herzustellen. \n Schaltet die Herstellung von Werkbänken, Bögen, Armbrüsten, Jagdgewehren, Handfeuerwaffen, Schrotflinten, Sturmgewehren, Scharfschützengewehren frei, Klingenwaffen, stumpfe Waffen, Faustwaffen, Wurfwaffen und Raketenwerfer. Schaltet die Herstellung von Stahlwerkzeugteilen und Motorwerkzeugteilen aus Werkzeugteilfragmenten und Werkzeugen frei. (Der Schraubenschlüssel, die Ratsche und der Schlagschrauber werden vom Mechaniker hergestellt)."
perkArmorerRank2DescITAV,progression,perk Pro,,,Journeyman,,Geselle/Gesellin
perkArmorerRank2LongDescITAV,progression,perk Pro,,,"You are now a journeyman armorer and able to craft quality 3 tools, armor and weaponry. (The  wrench, ratchet and impact driver are made by the Mechanic).",,"Du bist jetzt ein Waffenschmied und in der Lage, Werkzeuge, Rüstungen und Waffen der Qualität 3 herzustellen. (Der Schraubenschlüssel, die Ratsche und der Schlagschrauber werden vom Mechaniker hergestellt)."
perkArmorerRank3DescITAV,progression,perk Pro,,,Expert,,Expert:in
perkArmorerRank3LongDescITAV,progression,perk Pro,,,"You are now an expert armorer and able to craft quality 4 tools, armor and weaponry, as well as schematics for the most powerful weaponry. These schematics can also be found in loot, but only the Armorer can learn them. Unlocks steel tools. (The  wrench, ratchet and impact driver are made by the Mechanic).",,"Du bist jetzt ein erfahrener Rüstungsschmied und in der Lage, hochwertige Werkzeuge, Rüstungen und Waffen sowie Baupläne für die mächtigsten Waffen herzustellen. Diese Baupläne sind auch in Beute zu finden, aber nur der Waffenschmied kann sie lernen. Schaltet Stahl frei (Der Schraubenschlüssel, die Ratsche und der Schlagschrauber werden vom Mechaniker hergestellt)."
perkArmorerRank4DescITAV,progression,perk Pro,,,Artisan,,Handwerker:in
perkArmorerRank4LongDescITAV,progression,perk Pro,,,"You are now an artisan armorer and able to craft quality 5 tools, armor and weaponry. (The  wrench, ratchet and impact driver are made by the Mechanic).",,"Du bist jetzt ein handwerklicher Rüstungsschmied und in der Lage, Werkzeuge, Rüstungen und Waffen der Qualität 5 herzustellen. (Der Schraubenschlüssel, die Ratsche und der Schlagschrauber werden vom Mechaniker hergestellt)."
perkArmorerRank5DescITAV,progression,perk Pro,,,Master,,Meister:in
perkArmorerRank5LongDescITAV,progression,perk Pro,,,"You are now a master armorer and able to craft quality 6 tools, armor and weaponry. (The  wrench, ratchet and impact driver are made by the Mechanic).",,"Du bist jetzt ein Rüstungsmeister und in der Lage, Werkzeuge, Rüstungen und Waffen der Qualität 6 herzustellen. (Der Schraubenschlüssel, die Ratsche und der Schlagschrauber werden vom Mechaniker hergestellt)."

perkFarmerITAVDesc,progression,perk Pro,,,"Specialize in harvesting more crops and crafting seeds. Gain the ability to track animals and increase damage to and harvest from them. Meat can be efficiently prepared in the Farmer's Sink workbench.",,"Spezialisieren Sie sich darauf, mehr Feldfrüchte zu ernten und Saatgut herzustellen. Erlangen Sie die Fähigkeit, Tiere aufzuspüren und den Schaden an ihnen zu erhöhen und von ihnen zu ernten. Fleisch kann effizient in der Werkbank von Farmer's Sink zubereitet werden."
perkFarmerITAVName,progression,perk Pro,,,Farmer,,Farmer:in
perkFarmerITAVRank1Desc,progression,perk Pro,,,Forager,,Sammler:in
perkFarmerITAVRank1LongDesc,progression,perk Pro,,,"Double the harvest of wild or planted crops, and gain a 50% chance of receiving a seed when harvesting your crops. Craft seeds for flowers and decorative plants like goldenrod, chrysanthemum, aloe, and yucca.\n Farm plots cost 30% less to craft. Harvest 20% more resources from animals. Crouch to track rabbits, snakes and chickens. Deal 25% more damage to animals. Unlocks the Farmer's Sink workbench and a few basic foods.",,"Verdoppeln Sie die Ernte von wilden oder gepflanzten Feldfrüchten und erhalten Sie eine Chance von 50 %, bei der Ernte Ihrer Feldfrüchte einen Samen zu erhalten. Stellen Sie Samen für Blumen und Zierpflanzen wie Goldrute, Chrysantheme, Aloe und Yucca her.\n Bauernhöfe kosten 30 % weniger herzustellen. Ernten Sie 20 % mehr Ressourcen von Tieren. Gehen Sie in die Hocke, um Kaninchen, Schlangen und Hühner aufzuspüren. Füge Tieren 25 % mehr Schaden zu. Schaltet die Werkbank "Farmer's Sink" und einige Grundnahrungsmittel frei."
perkFarmerITAVRank2Desc,progression,perk Pro,,,Hunter,,Jäger:in
perkFarmerITAVRank2LongDesc,progression,perk Pro,,,"You can craft seeds for berries and vegetables.\n 100% chance of receiving a seed when harvesting you crops, and 80% chance to harvest 1 additional crop.\n Farm plots cost 50% less to craft. Crouch to track deers, boars, wolves and coyotes. Harvest 60% more resources from animals.",,"Du kannst Samen für Beeren und Gemüse herstellen.\n 100 % Chance, beim Ernten deiner Feldfrüchte einen Samen zu erhalten, und 80 % Chance, 1 zusätzliche Feldfrucht zu ernten.\n Die Herstellung von Farmparzellen kostet 50 % weniger. Gehe in die Hocke, um Hirsche aufzuspüren, Wildschweine, Wölfe und Kojoten. Ernte 60 % mehr Ressourcen von Tieren."
perkFarmerITAVRank3Desc,progression,perk Pro,,,Living off the Land,,Leben vom Land
perkFarmerITAVRank3LongDesc,progression,perk Pro,,,"Triple the harvest of wild or planted crops. Crouch to track mountain lions and bears. Harvest 100% more resources from animals, and gain a run speed boost when fighting zombie bears.",,"Verdreifacht die Ernte wilder oder gepflanzter Feldfrüchte. Gehe in die Hocke, um Berglöwen und Bären aufzuspüren. Ernte 100 % mehr Ressourcen von Tieren und erhalte einen Geschwindigkeitsschub beim Laufen, wenn du gegen Zombiebären kämpfst."

perkChemistITAVDesc,progression,perk Pro,,,"Specialize in crafting chemicals such as gunpowder, medicine, concrete mix... and paint. Perform high-end crafts at the Advanced Chemistry Station.",,"Spezialisieren Sie sich auf die Herstellung von Chemikalien wie Schießpulver, Medizin, Betonmischungen ... und Farbe."
perkChemistITAVName,progression,perk Pro,,,Chemist,,Chemiker:in
perkChemistITAVRank1Desc,progression,perk Pro,,,Student,,Student:in
perkChemistITAVRank1LongDesc,progression,perk Pro,,,"Can craft chemistry stations, first aid bandages, herbal antibiotics and plaster casts.",,"Kann Chemiestationen, Erste-Hilfe-Verbände, pflanzliche Antibiotika und Gipsverbände herstellen."
perkChemistITAVRank2Desc,progression,perk Pro,,,Kitchen Tinkerer,,Küchentüftler:in
perkChemistITAVRank2LongDesc,progression,perk Pro,,,"Can craft concrete mix, gun powder and paint. Craft items 20% faster at chemistry stations.",,"Kann Betonmischungen, Schießpulver und Farbe herstellen. An Chemiestationen Gegenstände 20 % schneller herstellen."
perkChemistITAVRank3Desc,progression,perk Pro,,,Lab Rat,,Laborratte
perkChemistITAVRank3LongDesc,progression,perk Pro,,,"Can craft first aid kits and steroids. Unlocks Advanced Chemistry Station.",,"Kann Erste-Hilfe-Kits und Steroide herstellen. Schaltet die Advanced Chemistry Station frei."
perkChemistITAVRank4Desc,progression,perk Pro,,,Artisan,,Handwerker:in
perkChemistITAVRank4LongDesc,progression,perk Pro,,,"Can craft Fortbites, Recog, antibiotics and Grandpa's Forgetting Elixir. Craft items 40% faster at chemistry stations.",,"Kann Fortbites, Recog, Antibiotika und Grandpa's Forgetting Elixir herstellen. Stellen Sie Gegenstände an Chemiestationen 40 % schneller her."
perkChemistITAVRank5Desc,progression,perk Pro,,,Master,,Meister:in
perkChemistITAVRank5LongDesc,progression,perk Pro,,,"???.",,"???."

perkRoboticsITAVDesc,progression,perk Pro,,,"You are fascinated with robotics. Learn to craft deployed weapons. Perform high-end crafts at the Advanced Robotic's Table.",,"Robotik fasziniert Sie. Lernen Sie, wie man eingesetzte Waffen herstellt."
perkRoboticsITAVName,progression,perk Pro,,,Robotics Inventor,,Erfinder der Robotik
perkRoboticsITAVRank1Desc,progression,perk Pro,,,Science Projects,,Wissenschaftsprojekte
perkRoboticsITAVRank1LongDesc,progression,perk Pro,,,"Craft poor quality 2 robots, deal 10% more damage, 30% faster fire rate and reload an extra 10 rounds. Robot active range is increased from 10 to 14 meters.\n You can deploy multiple robots but only the closest will be active. \n Unlocks crafting of workbenches, Robotic Sledge, Generatorbank, Switch, trigger plates and wires, electric relays and electrical traps.",,"Stelle 2 Roboter von schlechter Qualität her, verursache 10 % mehr Schaden, 30 % schnellere Feuerrate und lade 10 zusätzliche Runden nach. Die aktive Reichweite des Roboters wird von 10 auf 14 Meter erhöht.\n Du kannst mehrere Roboter einsetzen, aber nur der nächste wird es sein aktiv. \n Schaltet das Herstellen von Werkbänken, Roboterschlitten, Generatorbank, Schalter, Auslöseplatten und -drähten, elektrischen Relais und elektrischen Fallen frei."
perkRoboticsITAVRank2Desc,progression,perk Pro,,,Basic Robotics,,Grundlegende Robotik
perkRoboticsITAVRank2LongDesc,progression,perk Pro,,,"You are taking your projects to the next level now. Craft fair quality 3 robots, deal 20% more damage, 60% faster fire rate and reload an extra 20 rounds. Robot active range is 15 meters. Unlocks crafting of Robotic Parts from Tool Part Fragments.",,"Sie bringen Ihre Projekte jetzt auf die nächste Stufe. Stellen Sie 3 Roboter in fairer Qualität her, verursachen Sie 20 % mehr Schaden, 60 % schnellere Feuerrate und laden Sie 20 zusätzliche Runden nach. Die aktive Reichweite des Roboters beträgt 15 Meter. Schaltet das Herstellen von Roboterteilen frei aus Werkzeugteilfragmenten."
perkRoboticsITAVRank3Desc,progression,perk Pro,,,Automated Weaponry,,Automated Weaponry
perkRoboticsITAVRank3LongDesc,progression,perk Pro,,,"You have mastered the basics of automated weaponry. Craft good quality 4 robotics, deal 30% more damage, 90% faster fire rate and reload an extra 30 rounds. Robot active range is 16 meters. \n Unlocks crafting of Shotgun Auto Turret and Robotic Turret.",,"Du hast die Grundlagen der automatisierten Waffentechnik gemeistert. Stelle 4 hochwertige Roboter her, verursache 30 % mehr Schaden, 90 % schnellere Feuerrate und lade 30 zusätzliche Schuss nach. Die aktive Reichweite des Roboters beträgt 16 Meter. \n Schaltet die Herstellung des automatischen Schrotflintenturms frei und Roboterturm."
perkRoboticsITAVRank4Desc,progression,perk Pro,,,Advanced Robotics,,Fortgeschrittene Robotik
perkRoboticsITAVRank4LongDesc,progression,perk Pro,,,"You must be from the year 2077. You are creating some futuristic technology. Craft great quality 5 robots, deal 40% more damage, 120% faster fire rate and reload an extra 40 rounds. Reload robot weapons 10% faster. Robot active range is 17 meters.",,"Du musst aus dem Jahr 2077 stammen. Du erschaffst eine futuristische Technologie. Baue 5 hochwertige Roboter, verursache 40 % mehr Schaden, 120 % schnellere Feuerrate und lade 40 zusätzliche Runden nach. Lade Roboterwaffen 10 % schneller nach. Roboter Die aktive Reichweite beträgt 17 Meter."
perkRoboticsITAVRank5Desc,progression,perk Pro,,,Robotics Expert,,Robotik-Experte
perkRoboticsITAVRank5LongDesc,progression,perk Pro,,,"You are now a top expert in robotics. Reload robot weapons 20% faster and reload an extra 50 rounds. Robot active range is 18 meters.\n Two deployed robots can be active at once. \n Unlocks crafting of SMG Auto Turret, Robotic Drone and Advanced Robotic's Table.",,"Du bist jetzt ein Top-Experte für Robotik. Lade Roboterwaffen 20 % schneller nach und lade 50 zusätzliche Schuss nach. Die aktive Reichweite des Roboters beträgt 18 Meter.\n Zwei eingesetzte Roboter können gleichzeitig aktiv sein. \n Schaltet die Herstellung von SMG Auto Turret frei, Robotic Drone und Advanced Robotic's Table."


perkScientistITAVDesc,progression,perk Pro,,,"You are fascinated with robotics and chemicals such as deployed weapons, gunpowder, medicine and concrete mix. Perform high-end crafts at the Advanced Chemistry Station and the Advanced Robotic's Table.",,"Sie sind fasziniert von Robotik und Chemikalien wie eingesetzten Waffen, Schießpulver, Medikamenten und Betonmischungen. Führen Sie High-End-Handwerk an der Advanced Chemistry Station und dem Advanced Robotic's Table aus."
perkScientistITAVName,progression,perk Pro,,,Scientist,,Wissenschaftler:in
perkScientistITAVRank1Desc,progression,perk Pro,,,Student,,Student:in
perkScientistITAVRank1LongDesc,progression,perk Pro,,,"Can craft chemistry stations, first aid bandages, herbal antibiotics and plaster casts. Craft poor quality 2 robots, deal 10% more damage, 30% faster fire rate and reload an extra 10 rounds. Robot active range is increased from 10 to 14 meters.\n You can deploy multiple robots but only the closest will be active. \n Unlocks crafting of workbenches, Robotic Sledge, Generatorbank, Switch, trigger plates and wires, electric relays and electrical traps.",,"Kann Chemiestationen, Erste-Hilfe-Verbände, Kräuterantibiotika und Gipsverbände herstellen. Baue 2 Roboter von schlechter Qualität, verursache 10 % mehr Schaden, 30 % schnellere Feuerrate und lade 10 zusätzliche Runden nach. Die aktive Reichweite des Roboters wurde von 10 auf 10 erhöht 14 Meter.\n Du kannst mehrere Roboter einsetzen, aber nur der nächste ist aktiv. \n Schaltet die Herstellung von Werkbänken, Roboterschlitten, Generatorbank, Schalter, Auslöseplatten und -drähten, elektrischen Relais und elektrischen Fallen frei."
perkScientistITAVRank2Desc,progression,perk Pro,,,Kitchen Tinkerer,,Küchentüftler:in
perkScientistITAVRank2LongDesc,progression,perk Pro,,,"Can craft concrete mix, gun powder and paint. Craft items 20% faster at chemistry stations. Craft fair quality 3 robots, deal 20% more damage, 60% faster fire rate and reload an extra 20 rounds. Robot active range is 15 meters. Unlocks crafting of Robotic Parts from Tool Part Fragments.",,"Kann Betonmischung, Schießpulver und Farbe herstellen. Stellen Sie Gegenstände 20 % schneller an Chemiestationen her. Stellen Sie 3 Roboter von fairer Qualität her, verursachen Sie 20 % mehr Schaden, 60 % schnellere Feuerrate und laden Sie 20 zusätzliche Runden nach. Aktive Reichweite des Roboters ist 15 Meter. Schaltet die Herstellung von Roboterteilen aus Werkzeugteilfragmenten frei."
perkScientistITAVRank3Desc,progression,perk Pro,,,Lab Rat,,Laborratte
perkScientistITAVRank3LongDesc,progression,perk Pro,,,"Can craft first aid kits and steroids. Craft good quality 4 robotics, deal 30% more damage, 90% faster fire rate and reload an extra 30 rounds. Robot active range is 16 meters. \n Unlocks crafting of Shotgun Auto Turret and Robotic Turret. Unlocks Advanced Chemistry Station.",,"Kann Erste-Hilfe-Ausrüstungen und Steroide herstellen. 4 hochwertige Roboter herstellen, 30 % mehr Schaden verursachen, 90 % schnellere Feuerrate und 30 zusätzliche Schuss nachladen. Die aktive Reichweite des Roboters beträgt 16 Meter Roboterturm. Schaltet die erweiterte Chemiestation frei."
perkScientistITAVRank4Desc,progression,perk Pro,,,Artisan,,Handwerker:in
